"from","to","weight"
36,71,0.52463035799832
44,71,0.457819917055196
46,71,0.595832879764298
52,71,0.580979505957379
65,71,0.548893676226491
66,71,0.592184791968247
67,71,0.474565743979384
14,72,0.543279419473775
17,72,0.548856674002017
20,72,0.538519730994007
24,72,0.468929135322034
25,72,0.568139396942064
34,72,0.553017150236443
38,72,0.6113336991826
49,72,0.523314875391738
50,72,0.490287679257635
54,72,0.510518720312678
55,72,0.728693589180376
56,72,0.591712667759349
57,72,0.483902272722232
58,72,0.540847816891866
60,72,0.565543446313155
63,72,0.622472841671093
67,72,0.541615625947564
3,73,0.595714128317842
6,73,0.454592887887147
8,73,0.503456044731301
11,73,0.534079632785005
21,73,0.789268737974971
27,73,0.543924618045942
29,73,0.496071568654385
47,73,0.657123655497139
62,73,0.836761929138686
20,74,0.613046337864279
24,74,0.581979809599296
25,74,0.6081536022356
38,74,0.680799008522958
49,74,0.482236731202188
50,74,0.455159011960403
54,74,0.472026031595287
55,74,0.4774164068196
56,74,0.937652883881689
57,74,0.578731347935139
60,74,0.801426435699172
63,74,0.894579957173085
72,74,0.612349960912337
7,75,0.584209164676647
10,75,0.539762760912425
18,75,0.49605874899443
25,75,0.52031852296272
26,75,0.452331065982189
31,75,0.550762292882218
35,75,0.532241733482542
37,75,0.611224774199289
39,75,0.472926127502289
42,75,0.46669386802842
44,75,0.495208707229183
52,75,0.490104764859746
53,75,0.472462677608726
64,75,0.493401253435631
7,76,0.462685743604044
18,76,0.732462323305996
25,76,0.459499333470533
31,76,0.574008324533982
44,76,0.666175069486808
46,76,0.53247068187951
52,76,0.735030967727021
64,76,0.47195531593367
66,76,0.465838948109332
71,76,0.524690893910183
75,76,0.609755566315933
7,77,0.585846316241917
9,77,0.50991272888769
18,77,0.580684095093211
20,77,0.455976486691012
25,77,0.519568317744357
26,77,0.462685022662694
31,77,0.52611865517126
35,77,0.454489270547155
36,77,0.461656477283095
39,77,0.51561600514872
43,77,0.572726574888459
44,77,0.550343155203149
49,77,0.490633760450194
52,77,0.605752460396721
53,77,0.522410128910667
57,77,0.475186270821816
64,77,0.492524273490661
66,77,0.478445641434807
71,77,0.532335735029741
75,77,0.503926359647482
76,77,0.545813905440624
8,78,0.608137552423954
15,78,0.47726117344044
28,78,0.73438136325745
40,78,0.537289467602012
43,78,0.662459617534281
49,78,0.478094811480652
11,79,0.523337775028597
16,79,0.468806034521072
48,79,0.453662176862463
59,79,0.484468948831564
